Planning Area,Subzone,Age,Sex,Population
Total,Total,0.0,Total,29250.0
Total,Total,0.0,Males,14970.0
Total,Total,0.0,Females,14280.0
Total,Total,1.0,Total,32080.0
Total,Total,1.0,Males,16590.0
Total,Total,1.0,Females,15490.0
Total,Total,2.0,Total,35020.0
Total,Total,2.0,Males,17910.0
Total,Total,2.0,Females,17110.0
Total,Total,3.0,Total,35390.0
Total,Total,3.0,Males,18100.0
Total,Total,3.0,Females,17290.0
Total,Total,4.0,Total,38760.0
Total,Total,4.0,Males,19800.0
Total,Total,4.0,Females,18960.0
Total,Total,5.0,Total,38570.0
Total,Total,5.0,Males,19590.0
Total,Total,5.0,Females,18980.0
Total,Total,6.0,Total,39020.0
Total,Total,6.0,Males,20000.0
Total,Total,6.0,Females,19020.0
Total,Total,7.0,Total,40210.0
Total,Total,7.0,Males,20560.0
Total,Total,7.0,Females,19650.0
Total,Total,8.0,Total,41940.0
Total,Total,8.0,Males,21520.0
Total,Total,8.0,Females,20420.0
Total,Total,9.0,Total,42340.0
Total,Total,9.0,Males,21620.0
Total,Total,9.0,Females,20720.0
Total,Total,10.0,Total,40560.0
Total,Total,10.0,Males,20660.0
Total,Total,10.0,Females,19900.0
Total,Total,11.0,Total,42270.0
Total,Total,11.0,Males,21810.0
Total,Total,11.0,Females,20470.0
Total,Total,12.0,Total,41340.0
Total,Total,12.0,Males,21050.0
Total,Total,12.0,Females,20290.0
Total,Total,13.0,Total,39120.0
Total,Total,13.0,Males,19940.0
Total,Total,13.0,Females,19180.0
Total,Total,14.0,Total,41110.0
Total,Total,14.0,Males,20800.0
Total,Total,14.0,Females,20300.0
Total,Total,15.0,Total,42080.0
Total,Total,15.0,Males,21430.0
Total,Total,15.0,Females,20650.0
Total,Total,16.0,Total,43610.0
Total,Total,16.0,Males,22020.0
Total,Total,16.0,Females,21590.0
Total,Total,17.0,Total,41950.0
Total,Total,17.0,Males,21460.0
Total,Total,17.0,Females,20500.0
Total,Total,18.0,Total,41810.0
Total,Total,18.0,Males,21260.0
Total,Total,18.0,Females,20550.0
Total,Total,19.0,Total,41610.0
Total,Total,19.0,Males,21090.0
Total,Total,19.0,Females,20520.0
Total,Total,20.0,Total,41200.0
Total,Total,20.0,Males,20990.0
Total,Total,20.0,Females,20220.0
Total,Total,21.0,Total,43080.0
Total,Total,21.0,Males,21780.0
Total,Total,21.0,Females,21300.0
Total,Total,22.0,Total,43550.0
Total,Total,22.0,Males,22250.0
Total,Total,22.0,Females,21300.0
Total,Total,23.0,Total,48690.0
Total,Total,23.0,Males,24860.0
Total,Total,23.0,Females,23840.0
Total,Total,24.0,Total,48120.0
Total,Total,24.0,Males,24540.0
Total,Total,24.0,Females,23580.0
Total,Total,25.0,Total,47080.0
Total,Total,25.0,Males,24020.0
Total,Total,25.0,Females,23060.0
Total,Total,26.0,Total,51710.0
Total,Total,26.0,Males,25970.0
Total,Total,26.0,Females,25740.0
Total,Total,27.0,Total,54210.0
Total,Total,27.0,Males,27160.0
Total,Total,27.0,Females,27060.0
Total,Total,28.0,Total,57200.0
Total,Total,28.0,Males,28350.0
Total,Total,28.0,Females,28840.0
Total,Total,29.0,Total,59340.0
Total,Total,29.0,Males,29330.0
Total,Total,29.0,Females,30000.0
Total,Total,30.0,Total,62110.0
Total,Total,30.0,Males,30390.0
Total,Total,30.0,Females,31710.0
Total,Total,31.0,Total,63100.0
Total,Total,31.0,Males,30840.0
Total,Total,31.0,Females,32260.0
Total,Total,32.0,Total,63390.0
Total,Total,32.0,Males,30390.0
Total,Total,32.0,Females,33000.0
Total,Total,33.0,Total,67070.0
Total,Total,33.0,Males,32410.0
Total,Total,33.0,Females,34660.0
Total,Total,34.0,Total,64820.0
Total,Total,34.0,Males,31150.0
Total,Total,34.0,Females,33680.0
Total,Total,35.0,Total,70470.0
Total,Total,35.0,Males,33630.0
Total,Total,35.0,Females,36850.0
Total,Total,36.0,Total,65250.0
Total,Total,36.0,Males,30960.0
Total,Total,36.0,Females,34290.0
Total,Total,37.0,Total,57590.0
Total,Total,37.0,Males,27010.0
Total,Total,37.0,Females,30580.0
Total,Total,38.0,Total,59440.0
Total,Total,38.0,Males,28140.0
Total,Total,38.0,Females,31300.0
Total,Total,39.0,Total,61830.0
Total,Total,39.0,Males,29060.0
Total,Total,39.0,Females,32770.0
Total,Total,40.0,Total,59870.0
Total,Total,40.0,Males,28070.0
Total,Total,40.0,Females,31800.0
Total,Total,41.0,Total,63450.0
Total,Total,41.0,Males,29850.0
Total,Total,41.0,Females,33600.0
Total,Total,42.0,Total,63390.0
Total,Total,42.0,Males,30030.0
Total,Total,42.0,Females,33360.0
Total,Total,43.0,Total,62470.0
Total,Total,43.0,Males,29420.0
Total,Total,43.0,Females,33050.0
Total,Total,44.0,Total,61090.0
Total,Total,44.0,Males,29040.0
Total,Total,44.0,Females,32050.0
Total,Total,45.0,Total,61140.0
Total,Total,45.0,Males,28880.0
Total,Total,45.0,Females,32260.0
Total,Total,46.0,Total,58670.0
Total,Total,46.0,Males,27870.0
Total,Total,46.0,Females,30800.0
Total,Total,47.0,Total,61960.0
Total,Total,47.0,Males,29620.0
Total,Total,47.0,Females,32340.0
Total,Total,48.0,Total,59470.0
Total,Total,48.0,Males,28520.0
Total,Total,48.0,Females,30960.0
Total,Total,49.0,Total,59990.0
Total,Total,49.0,Males,28980.0
Total,Total,49.0,Females,31010.0
Total,Total,50.0,Total,62350.0
Total,Total,50.0,Males,30070.0
Total,Total,50.0,Females,32280.0
Total,Total,51.0,Total,64760.0
Total,Total,51.0,Males,31580.0
Total,Total,51.0,Females,33180.0
Total,Total,52.0,Total,62270.0
Total,Total,52.0,Males,30330.0
Total,Total,52.0,Females,31940.0
Total,Total,53.0,Total,60810.0
Total,Total,53.0,Males,29470.0
Total,Total,53.0,Females,31340.0
Total,Total,54.0,Total,57150.0
Total,Total,54.0,Males,27620.0
Total,Total,54.0,Females,29530.0
Total,Total,55.0,Total,56740.0
Total,Total,55.0,Males,27280.0
Total,Total,55.0,Females,29460.0
Total,Total,56.0,Total,58450.0
Total,Total,56.0,Males,28740.0
Total,Total,56.0,Females,29710.0
Total,Total,57.0,Total,58100.0
Total,Total,57.0,Males,28620.0
Total,Total,57.0,Females,29480.0
Total,Total,58.0,Total,61000.0
Total,Total,58.0,Males,30220.0
Total,Total,58.0,Females,30780.0
Total,Total,59.0,Total,59940.0
Total,Total,59.0,Males,29810.0
Total,Total,59.0,Females,30140.0
Total,Total,60.0,Total,61600.0
Total,Total,60.0,Males,30570.0
Total,Total,60.0,Females,31030.0
Total,Total,61.0,Total,60020.0
Total,Total,61.0,Males,29760.0
